sku,data_venda,venda
201,2024-01-27,50
201,2024-01-28,20
201,2024-02-01,26
201,2024-02-03,36
201,2024-02-05,26
775,2024-01-14,30
775,2024-01-15,38
775,2024-01-16,42
775,2024-01-17,46
775,2024-01-18,43
775,2024-01-19,53
775,2024-01-20,89
775,2024-01-22,47
775,2024-01-24,38
775,2024-01-25,55
775,2024-01-26,47
775,2024-01-27,68
775,2024-01-28,50
775,2024-01-31,50
775,2024-02-01,61
775,2024-02-02,52
775,2024-02-03,81
775,2024-02-04,67
775,2024-02-05,43
1033,2024-02-02,30
1526,2024-01-14,18
1526,2024-01-15,30
1526,2024-01-16,28
1526,2024-01-17,24
1526,2024-01-18,28
1526,2024-01-20,32
1526,2024-01-22,23
1526,2024-01-23,16
1526,2024-01-24,23
1526,2024-01-25,25
1526,2024-01-27,46
1526,2024-01-29,20
1526,2024-02-01,22
1526,2024-02-02,19
1889,2024-01-20,11
2006,2024-01-15,18
2006,2024-01-18,16
2006,2024-01-19,28
2006,2024-01-22,27
2006,2024-01-23,16
2006,2024-01-24,28
2006,2024-01-25,22
2006,2024-01-26,32
2006,2024-01-29,36
2006,2024-02-01,46
2006,2024-02-02,30
2006,2024-02-05,36
2392,2024-01-15,12
2392,2024-01-16,15
2989,2024-01-27,11
2999,2024-01-14,13
2999,2024-01-28,12
2999,2024-02-03,33
2999,2024-02-05,13
3082,2024-02-03,30
3516,2024-01-31,10
3516,2024-02-04,11
4326,2024-01-30,14
4326,2024-02-02,11
4326,2024-02-03,19
4534,2024-01-26,19
4534,2024-01-28,23
4534,2024-01-29,34
4534,2024-02-02,46
4534,2024-02-03,67
4534,2024-02-05,48
4550,2024-01-17,10
4550,2024-01-22,13
4550,2024-02-03,14
4711,2024-01-14,11
4711,2024-01-16,30
4711,2024-01-17,15
4711,2024-01-22,17
4711,2024-01-23,14
4711,2024-01-27,21
4711,2024-01-28,16
4711,2024-01-31,15
5342,2024-01-14,15
5342,2024-01-15,23
5342,2024-01-17,32
5342,2024-01-18,18
5342,2024-01-20,34
5342,2024-01-21,23
5342,2024-01-22,28
5342,2024-01-24,27
5342,2024-01-25,29
5342,2024-01-27,40
5342,2024-01-28,18
5342,2024-01-30,25
5342,2024-01-31,21
5342,2024-02-01,25
5342,2024-02-04,38
5342,2024-02-05,25
298,2024-01-14,54
298,2024-01-15,91
298,2024-01-16,82
298,2024-01-17,103
298,2024-01-18,85
298,2024-01-19,103
298,2024-01-20,117
298,2024-01-21,69
298,2024-01-22,68
298,2024-01-23,77
298,2024-01-24,83
298,2024-01-25,91
298,2024-01-26,84
298,2024-01-27,106
298,2024-01-28,53
298,2024-01-29,75
298,2024-01-30,89
298,2024-01-31,101
298,2024-02-01,84
298,2024-02-02,108
298,2024-02-03,135
298,2024-02-04,72
298,2024-02-05,101
316,2024-01-14,48
316,2024-01-16,38
316,2024-01-20,57
316,2024-01-22,31
316,2024-01-23,35
316,2024-01-25,43
316,2024-01-26,49
316,2024-01-27,66
316,2024-01-29,50
316,2024-01-30,38
316,2024-01-31,40
316,2024-02-01,42
316,2024-02-03,58
316,2024-02-04,46
380,2024-01-14,47
380,2024-01-15,25
380,2024-01-16,59
380,2024-01-17,53
380,2024-01-18,41
380,2024-01-19,54
380,2024-01-22,50
380,2024-01-23,50
380,2024-01-25,60
380,2024-01-26,37
380,2024-01-31,46
380,2024-02-01,40
380,2024-02-03,56
380,2024-02-04,23
380,2024-02-05,55
483,2024-02-03,14
1003,2024-01-14,15
1003,2024-01-16,12
1003,2024-01-20,18
1003,2024-01-23,10
1003,2024-01-24,12
1003,2024-02-01,13
1548,2024-01-21,11
2682,2024-01-14,37
2682,2024-01-18,37
2682,2024-01-19,29
2682,2024-01-20,38
2682,2024-01-25,23
2682,2024-01-29,17
2682,2024-01-30,24
3297,2024-01-18,17
3359,2024-01-26,29
3359,2024-01-28,11
3359,2024-01-30,10
3484,2024-01-16,30
3484,2024-01-18,51
3484,2024-01-19,58
3484,2024-01-20,91
3484,2024-01-21,61
3484,2024-01-22,60
3484,2024-01-23,65
3484,2024-01-25,73
3484,2024-01-26,73
3484,2024-01-27,112
3484,2024-01-28,67
3484,2024-01-29,52
3484,2024-01-30,50
3484,2024-01-31,48
3484,2024-02-01,59
3484,2024-02-02,56
3484,2024-02-03,81
3484,2024-02-04,47
3484,2024-02-05,49
1244,2024-01-16,31
1244,2024-01-18,28
1244,2024-01-21,14
1244,2024-01-22,16
1244,2024-01-24,19
1244,2024-01-28,19
1244,2024-01-30,15
1244,2024-01-31,13
1340,2024-01-21,10
1613,2024-01-20,13
1934,2024-01-14,25
1934,2024-01-17,28
1934,2024-01-18,17
1934,2024-01-19,24
1934,2024-01-22,30
1934,2024-01-23,18
1934,2024-01-24,22
1934,2024-01-25,34
1934,2024-01-26,54
1934,2024-01-27,70
1934,2024-01-29,27
1934,2024-01-30,53
1934,2024-01-31,43
1934,2024-02-01,56
1934,2024-02-02,55
1934,2024-02-03,78
1934,2024-02-05,49
2094,2024-01-15,12
2094,2024-01-22,15
2524,2024-01-18,19
2524,2024-01-20,16
2524,2024-01-21,10
2524,2024-01-25,12
2524,2024-01-30,15
2736,2024-01-16,13
3087,2024-01-14,13
3308,2024-01-14,20
3308,2024-01-17,23
3308,2024-01-18,23
3308,2024-01-19,14
3308,2024-01-20,33
3308,2024-01-24,10
3308,2024-01-26,15
3308,2024-01-28,12
3308,2024-02-02,13
3308,2024-02-03,13
3308,2024-02-05,13
3735,2024-01-14,10
3740,2024-01-15,16
3740,2024-01-18,16
3740,2024-01-20,24
3740,2024-01-25,15
3740,2024-01-30,10
3740,2024-02-02,10
3740,2024-02-03,17
4612,2024-01-14,19
4612,2024-01-15,24
4612,2024-01-17,41
4612,2024-01-20,36
4612,2024-01-21,24
4612,2024-01-22,33
4612,2024-01-23,35
4612,2024-01-24,50
4612,2024-01-27,65
4612,2024-01-29,36
4612,2024-01-30,33
4612,2024-01-31,33
4612,2024-02-01,38
4612,2024-02-02,39
4612,2024-02-05,26
431,2024-01-16,10
431,2024-01-17,10
431,2024-01-20,12
431,2024-01-27,12
433,2024-01-14,16
433,2024-01-16,15
433,2024-01-23,15
433,2024-01-30,13
433,2024-02-01,12
433,2024-02-03,20
442,2024-01-15,30
442,2024-01-17,35
442,2024-01-18,29
442,2024-01-19,28
442,2024-01-20,47
442,2024-01-21,40
442,2024-01-22,23
442,2024-01-23,27
442,2024-01-24,26
442,2024-01-25,28
442,2024-01-26,28
442,2024-01-27,41
442,2024-01-28,22
442,2024-01-29,19
442,2024-01-30,30
442,2024-01-31,29
442,2024-02-01,31
442,2024-02-02,25
442,2024-02-03,37
442,2024-02-04,20
442,2024-02-05,24
529,2024-01-15,25
529,2024-01-16,39
529,2024-01-18,25
529,2024-01-20,66
529,2024-01-24,27
529,2024-01-25,25
529,2024-01-26,25
529,2024-01-27,47
529,2024-01-28,44
529,2024-01-29,29
529,2024-01-31,28
529,2024-02-02,32
529,2024-02-03,60
529,2024-02-04,28
529,2024-02-05,33
1990,2024-01-24,10
1990,2024-01-28,13
1990,2024-02-03,13
2129,2024-01-15,15
2129,2024-01-16,13
2129,2024-01-18,14
2129,2024-01-20,24
2129,2024-01-27,24
2129,2024-01-30,17
2129,2024-02-02,28
2129,2024-02-03,22
2129,2024-02-04,15
3388,2024-01-17,17
3388,2024-01-19,10
3388,2024-01-25,21
3388,2024-01-27,16
3693,2024-01-16,33
3693,2024-01-17,33
3693,2024-01-19,40
3693,2024-01-20,39
3693,2024-01-21,34
3693,2024-01-24,31
3693,2024-01-27,45
3693,2024-01-29,28
3693,2024-01-30,30
3693,2024-01-31,37
3693,2024-02-02,30
3693,2024-02-05,32
4445,2024-01-26,22
4445,2024-01-27,33
4452,2024-02-03,23
4458,2024-02-03,15
5456,2024-02-03,16
5456,2024-02-04,17
5456,2024-02-05,18
122,2024-01-17,20
122,2024-01-18,25
122,2024-01-19,28
122,2024-01-20,23
122,2024-01-21,14
122,2024-01-23,24
122,2024-01-25,30
122,2024-01-26,24
122,2024-02-03,56
122,2024-02-04,27
415,2024-01-18,26
415,2024-01-19,35
415,2024-01-20,47
415,2024-01-25,50
415,2024-01-28,35
415,2024-02-01,32
415,2024-02-02,35
415,2024-02-03,50
415,2024-02-04,28
415,2024-02-05,31
1470,2024-01-26,14
1470,2024-01-27,12
1965,2024-01-23,17
1965,2024-01-27,13
1965,2024-01-29,13
1965,2024-01-31,14
2024,2024-01-15,13
2024,2024-01-20,13
2024,2024-02-03,10
2055,2024-01-19,36
2206,2024-01-17,12
2206,2024-01-26,15
2206,2024-01-27,13
2694,2024-01-14,25
2694,2024-01-16,15
2694,2024-01-18,27
2694,2024-01-19,29
2694,2024-01-20,36
2694,2024-01-22,25
2694,2024-01-25,35
2694,2024-01-27,28
2694,2024-01-28,18
2694,2024-02-01,18
3215,2024-01-14,15
3215,2024-01-16,23
3215,2024-01-19,27
3215,2024-01-23,22
3215,2024-01-27,43
3215,2024-01-31,20
3215,2024-02-01,13
3215,2024-02-02,36
3215,2024-02-03,57
3489,2024-01-21,13
3979,2024-01-16,19
3979,2024-01-19,21
3979,2024-01-20,34
3979,2024-01-24,19
3979,2024-01-25,14
3979,2024-01-26,14
3979,2024-01-28,11
3979,2024-02-02,15
3979,2024-02-03,28
4036,2024-01-19,10
213,2024-01-14,12
213,2024-01-16,13
213,2024-02-01,10
213,2024-02-03,15
576,2024-01-27,11
584,2024-01-18,10
584,2024-01-24,10
1190,2024-01-15,60
1190,2024-01-16,66
1190,2024-01-18,56
1190,2024-01-19,55
1190,2024-01-20,86
1190,2024-01-22,51
1190,2024-01-23,51
1190,2024-01-24,56
1190,2024-01-25,59
1190,2024-01-26,74
1190,2024-01-27,77
1190,2024-01-29,63
1190,2024-01-30,50
1190,2024-01-31,54
1190,2024-02-01,54
1190,2024-02-02,75
1190,2024-02-03,109
1190,2024-02-05,41
1299,2024-01-20,22
1299,2024-02-03,10
1345,2024-01-16,13
1345,2024-01-20,25
1345,2024-01-31,10
1554,2024-01-15,14
1554,2024-01-18,12
1554,2024-01-22,16
1554,2024-01-25,10
1554,2024-01-27,17
1554,2024-02-03,21
1554,2024-02-05,12
1741,2024-01-19,25
1741,2024-01-22,13
1741,2024-01-23,23
1741,2024-01-25,20
1741,2024-01-27,33
1741,2024-01-28,26
1741,2024-01-29,33
1741,2024-01-31,22
1741,2024-02-01,23
1741,2024-02-03,34
1874,2024-01-20,11
2712,2024-01-14,48
2712,2024-01-15,63
2712,2024-01-17,52
2712,2024-01-19,68
2712,2024-01-20,80
2712,2024-01-22,39
2712,2024-01-23,36
2712,2024-01-25,32
2712,2024-01-27,65
2712,2024-01-28,32
2712,2024-01-29,31
2712,2024-01-31,18
2712,2024-02-03,54
2712,2024-02-05,26
2913,2024-02-03,16
3550,2024-01-17,10
3857,2024-01-26,14
3857,2024-01-28,13
3954,2024-01-17,18
3954,2024-01-21,14
3954,2024-01-23,15
3954,2024-01-24,15
3954,2024-01-26,20
3954,2024-02-05,15
4042,2024-02-02,15
4838,2024-01-26,10
4838,2024-02-04,10
5080,2024-02-02,12
336,2024-01-15,27
336,2024-01-16,27
336,2024-01-17,29
336,2024-01-22,19
336,2024-01-24,23
336,2024-02-05,18
387,2024-01-17,37
387,2024-01-26,35
421,2024-01-14,12
421,2024-01-16,21
421,2024-01-25,11
652,2024-01-16,76
652,2024-01-17,64
652,2024-01-21,43
652,2024-01-22,62
652,2024-01-31,69
896,2024-01-14,16
896,2024-01-18,13
896,2024-01-24,14
896,2024-01-25,12
896,2024-01-29,16
904,2024-01-23,17
904,2024-01-24,16
904,2024-01-25,20
904,2024-01-28,22
904,2024-02-01,12
904,2024-02-03,15
1835,2024-01-25,12
1835,2024-02-03,14
3010,2024-01-16,11
3010,2024-02-03,12
4868,2024-01-26,11
4868,2024-01-28,14
201,2024-01-15,25
201,2024-01-16,24
201,2024-01-17,23
201,2024-01-21,20
201,2024-01-25,27
201,2024-01-29,17
201,2024-01-30,20
201,2024-02-02,25
201,2024-02-04,31
775,2024-01-21,32
775,2024-01-29,47
775,2024-01-30,37
1526,2024-01-26,24
1526,2024-02-03,28
2006,2024-01-17,24
2006,2024-01-20,19
2006,2024-01-27,34
2006,2024-01-31,35
2006,2024-02-04,30
2392,2024-01-17,14
2392,2024-01-20,11
2989,2024-01-19,10
2989,2024-02-03,10
2999,2024-01-18,14
2999,2024-01-20,20
2999,2024-02-02,17
3018,2024-02-03,14
3516,2024-02-05,17
4440,2024-02-03,13
4534,2024-01-27,34
4534,2024-01-31,28
4534,2024-02-01,39
4711,2024-01-18,17
4711,2024-01-21,13
4711,2024-01-26,17
4711,2024-02-03,21
5342,2024-01-19,33
5342,2024-01-26,38
5342,2024-01-29,20
316,2024-01-19,35
316,2024-01-21,32
316,2024-01-24,50
316,2024-01-28,22
316,2024-02-02,46
316,2024-02-05,43
380,2024-01-20,82
380,2024-01-21,53
380,2024-01-28,24
380,2024-01-30,35
483,2024-01-26,12
884,2024-01-19,10
1548,2024-01-20,12
1548,2024-01-24,10
2199,2024-01-14,11
2199,2024-01-15,11
2199,2024-01-18,14
2502,2024-01-15,10
2502,2024-01-16,15
2611,2024-01-14,17
2611,2024-01-18,10
2611,2024-01-27,10
2682,2024-01-15,32
2682,2024-01-17,37
2682,2024-01-23,21
2682,2024-01-26,15
2682,2024-01-27,31
2682,2024-01-28,15
2682,2024-02-01,18
2682,2024-02-03,33
2682,2024-02-05,13
3359,2024-01-24,20
3359,2024-01-25,27
3359,2024-01-27,26
3359,2024-01-31,13
3439,2024-02-03,17
3484,2024-01-17,43
3484,2024-01-24,73
1244,2024-01-17,19
1244,2024-01-19,33
1244,2024-01-25,13
1244,2024-01-29,18
1244,2024-02-04,10
1244,2024-02-05,21
1406,2024-01-27,12
1613,2024-01-15,10
1934,2024-01-16,20
1934,2024-01-20,27
1934,2024-02-04,44
2122,2024-01-19,10
2524,2024-01-14,17
2524,2024-01-17,10
2524,2024-01-27,13
2736,2024-01-15,21
3308,2024-01-16,22
3308,2024-01-21,14
3308,2024-01-27,12
3740,2024-01-16,10
3740,2024-01-17,12
3740,2024-01-21,18
3740,2024-01-22,10
3740,2024-01-26,10
3740,2024-01-27,14
3740,2024-01-28,16
3740,2024-02-04,13
4612,2024-01-25,38
4612,2024-01-26,34
4612,2024-01-28,25
4612,2024-02-03,60
4612,2024-02-04,32
431,2024-01-15,10
433,2024-01-21,18
433,2024-01-25,13
433,2024-01-27,22
433,2024-02-02,11
442,2024-01-14,25
442,2024-01-16,47
529,2024-01-14,36
529,2024-01-17,33
529,2024-01-19,23
529,2024-01-21,22
529,2024-01-22,28
529,2024-01-23,24
529,2024-01-30,36
529,2024-02-01,41
1990,2024-01-20,13
1990,2024-01-27,13
2129,2024-01-19,17
2129,2024-01-21,14
2129,2024-01-29,10
2129,2024-02-01,18
3388,2024-01-15,15
3388,2024-01-16,12
3388,2024-01-22,17
3388,2024-01-23,19
3388,2024-02-01,14
3693,2024-01-14,33
3693,2024-01-15,30
3693,2024-01-18,40
3693,2024-01-22,34
3693,2024-01-25,33
3693,2024-02-01,42
3693,2024-02-03,48
4445,2024-02-02,16
4452,2024-02-02,10
4458,2024-01-27,15
4458,2024-01-29,10
122,2024-01-15,18
122,2024-01-28,19
122,2024-01-29,23
122,2024-02-01,28
122,2024-02-02,24
415,2024-01-17,30
415,2024-01-22,33
415,2024-01-23,32
415,2024-01-27,50
415,2024-01-29,28
415,2024-01-30,38
415,2024-01-31,22
1470,2024-02-03,10
1854,2024-01-25,11
1965,2024-01-17,10
2055,2024-01-18,10
2055,2024-01-20,25
2206,2024-02-02,12
2206,2024-02-04,11
2694,2024-01-15,12
2694,2024-01-17,28
2694,2024-01-26,19
2694,2024-01-29,28
2694,2024-01-31,11
3215,2024-01-17,21
3215,2024-01-18,14
3215,2024-01-20,31
3215,2024-01-21,22
3215,2024-01-24,20
3215,2024-01-26,27
3215,2024-01-28,22
3215,2024-01-29,28
3215,2024-01-30,13
3215,2024-02-05,20
3979,2024-01-14,20
3979,2024-01-17,24
3979,2024-01-21,23
3979,2024-01-23,11
213,2024-01-23,11
576,2024-02-01,14
1190,2024-01-14,51
1190,2024-01-21,46
1190,2024-01-28,57
1299,2024-01-18,13
1345,2024-01-14,16
1345,2024-01-23,17
1345,2024-01-27,16
1554,2024-01-19,16
1554,2024-01-21,14
1554,2024-02-01,12
1741,2024-01-18,22
1741,2024-01-21,27
1741,2024-01-24,16
1741,2024-01-26,22
1741,2024-02-05,20
2712,2024-01-16,45
2712,2024-01-18,45
2712,2024-01-21,47
2712,2024-01-30,29
2913,2024-02-05,14
3550,2024-02-02,10
3857,2024-02-03,13
3954,2024-01-18,18
3954,2024-01-19,12
3954,2024-01-20,18
3954,2024-01-27,20
4042,2024-01-25,10
4838,2024-01-24,15
4838,2024-01-25,11
5080,2024-01-27,10
336,2024-01-19,25
336,2024-01-21,29
336,2024-01-29,20
336,2024-01-30,22
387,2024-01-22,31
421,2024-01-26,13
421,2024-01-27,22
421,2024-01-28,10
896,2024-02-02,22
904,2024-01-22,11
904,2024-01-26,17
904,2024-02-02,10
1532,2024-01-20,10
1835,2024-01-30,13
1835,2024-02-04,11
3010,2024-01-26,15
3109,2024-01-20,18
4037,2024-02-03,18
4037,2024-02-04,11
4868,2024-01-27,26
4868,2024-01-29,12
201,2024-01-24,35
201,2024-01-31,20
775,2024-01-23,54
1526,2024-01-21,25
1526,2024-01-28,19
2006,2024-01-14,15
2999,2024-01-17,16
2999,2024-01-22,16
2999,2024-01-23,14
2999,2024-01-25,13
2999,2024-01-27,28
3082,2024-02-04,14
3082,2024-02-05,17
3516,2024-02-01,13
3516,2024-02-03,23
4326,2024-01-27,10
4326,2024-02-04,10
4534,2024-01-30,36
4534,2024-02-04,46
4550,2024-01-16,13
4550,2024-01-19,13
4711,2024-01-25,13
4711,2024-01-29,16
5342,2024-01-16,24
5342,2024-01-23,29
5342,2024-02-02,22
316,2024-01-15,37
316,2024-01-17,26
316,2024-01-18,36
380,2024-01-24,28
380,2024-01-27,57
380,2024-01-29,39
380,2024-02-02,58
1003,2024-02-02,18
1003,2024-02-04,19
1548,2024-01-14,15
1548,2024-01-27,10
1548,2024-02-01,10
2199,2024-01-16,17
2502,2024-01-19,16
2611,2024-01-21,10
2611,2024-01-28,12
2682,2024-01-21,23
2682,2024-01-22,15
2682,2024-01-31,19
2837,2024-01-20,11
3297,2024-01-16,10
3297,2024-01-17,10
3297,2024-01-23,10
3297,2024-01-31,10
3359,2024-01-29,11
3484,2024-01-14,26
1244,2024-01-20,37
1244,2024-01-23,15
1244,2024-01-26,22
1244,2024-01-27,21
1244,2024-02-01,18
1244,2024-02-03,16
1934,2024-01-15,21
1934,2024-01-21,26
1934,2024-01-28,31
2524,2024-01-15,11
2524,2024-01-16,12
2524,2024-01-23,10
3308,2024-01-15,18
3308,2024-01-22,14
3308,2024-01-23,13
3308,2024-01-25,15
3308,2024-01-31,21
3735,2024-01-17,12
3735,2024-01-20,14
3740,2024-01-19,14
3740,2024-01-24,10
4612,2024-01-19,26
431,2024-01-25,12
433,2024-01-20,24
433,2024-01-28,13
2129,2024-01-14,10
2129,2024-01-23,18
2129,2024-01-26,15
2129,2024-01-28,15
3388,2024-01-21,10
3388,2024-01-24,22
3388,2024-01-26,13
3693,2024-01-23,33
4445,2024-01-25,31
122,2024-01-14,19
122,2024-01-22,22
122,2024-01-27,25
122,2024-01-30,22
122,2024-01-31,32
122,2024-02-05,23
415,2024-01-14,25
415,2024-01-15,28
415,2024-01-21,26
415,2024-01-24,28
415,2024-01-26,33
1470,2024-02-02,11
1965,2024-01-14,10
1965,2024-01-16,15
1965,2024-01-18,16
2024,2024-01-14,11
2206,2024-01-22,11
2694,2024-01-24,31
2694,2024-02-02,12
2694,2024-02-03,25
3215,2024-01-22,22
3979,2024-01-15,14
3979,2024-01-22,14
3979,2024-02-04,12
4005,2024-01-20,10
576,2024-01-17,10
584,2024-01-15,19
584,2024-01-19,12
584,2024-02-02,10
1190,2024-01-17,48
1190,2024-02-04,55
1299,2024-02-02,12
1345,2024-01-15,19
1345,2024-01-18,22
1345,2024-01-21,15
1554,2024-01-14,11
1554,2024-01-17,16
1554,2024-01-20,14
1554,2024-01-26,19
1554,2024-01-31,13
1741,2024-01-14,19
1741,2024-01-15,19
1741,2024-01-30,33
1741,2024-02-02,14
2712,2024-01-26,29
2712,2024-02-01,21
2712,2024-02-02,22
2712,2024-02-04,23
3550,2024-01-18,10
3857,2024-01-20,12
3857,2024-01-27,18
3954,2024-01-15,17
3954,2024-01-25,19
3954,2024-02-03,15
4042,2024-01-27,11
4838,2024-02-03,13
27,2024-01-23,10
421,2024-01-15,14
896,2024-01-21,11
896,2024-02-04,15
904,2024-01-19,14
904,2024-02-05,11
1835,2024-01-14,11
1835,2024-01-19,14
3109,2024-01-21,10
3109,2024-01-24,11
4037,2024-01-30,12
4037,2024-02-02,17
201,2024-01-18,13
201,2024-01-19,16
201,2024-01-26,27
1526,2024-01-30,20
1526,2024-02-04,31
1889,2024-01-16,10
2006,2024-01-16,13
2006,2024-01-28,22
2006,2024-01-30,30
2989,2024-02-05,10
2999,2024-01-31,11
3082,2024-02-01,12
4534,2024-01-24,13
4534,2024-01-25,23
4550,2024-01-15,11
4711,2024-01-15,18
4711,2024-01-20,27
4711,2024-01-24,16
4711,2024-02-02,15
5342,2024-02-03,48
483,2024-01-20,12
1003,2024-02-03,16
1003,2024-02-05,23
1548,2024-01-16,14
2611,2024-01-15,13
2611,2024-01-20,17
2625,2024-01-19,15
2682,2024-01-24,18
3297,2024-01-20,14
3484,2024-01-15,16
2094,2024-01-20,12
2446,2024-01-27,10
3400,2024-01-27,12
3735,2024-01-16,11
3740,2024-01-29,13
4612,2024-01-18,30
431,2024-01-18,16
433,2024-01-18,12
433,2024-01-24,15
433,2024-01-26,16
3693,2024-01-26,27
3693,2024-01-28,25
4445,2024-01-24,10
4445,2024-02-01,14
4452,2024-02-05,11
122,2024-01-16,32
122,2024-01-24,17
1470,2024-01-18,10
1470,2024-01-20,10
1965,2024-01-20,11
1965,2024-01-25,12
1965,2024-01-26,12
2694,2024-01-21,21
3215,2024-01-15,21
3215,2024-02-04,26
3979,2024-01-29,18
4005,2024-01-16,11
213,2024-01-17,11
213,2024-01-18,15
213,2024-02-02,10
1299,2024-01-15,10
1299,2024-01-23,10
1345,2024-01-22,10
1345,2024-01-29,11
1554,2024-01-16,10
1554,2024-02-02,17
1741,2024-01-16,21
1741,2024-01-17,18
1741,2024-02-04,23
1874,2024-01-27,11
2712,2024-01-24,26
3954,2024-01-16,18
3954,2024-01-31,11
3954,2024-02-02,12
4042,2024-02-03,20
4838,2024-01-27,11
896,2024-01-26,15
1835,2024-01-27,13
3109,2024-01-15,12
201,2024-01-14,18
1200,2024-02-03,10
1526,2024-01-19,29
4711,2024-01-30,14
4711,2024-02-05,14
483,2024-02-02,10
1244,2024-01-15,15
2524,2024-02-04,10
433,2024-01-19,11
2129,2024-02-05,13
4445,2024-02-03,10
415,2024-01-16,30
2024,2024-01-18,10
2694,2024-02-05,12
3979,2024-01-18,23
213,2024-01-28,12
1345,2024-01-19,15
1741,2024-01-20,38
3857,2024-02-02,12
3954,2024-01-29,10
5080,2024-02-01,10
896,2024-01-30,11
896,2024-02-05,10
1835,2024-01-18,10
3010,2024-01-27,10
1526,2024-02-05,12
2006,2024-02-03,29
2989,2024-01-22,10
2999,2024-01-15,18
2999,2024-01-16,12
2999,2024-01-29,11
3082,2024-02-02,11
4711,2024-01-19,11
2682,2024-01-16,27
3297,2024-01-22,12
3297,2024-01-30,11
431,2024-02-05,11
433,2024-01-31,16
1026,2024-01-16,10
3693,2024-02-04,28
2206,2024-01-16,17
3550,2024-02-03,10
3954,2024-01-30,12
4042,2024-01-26,10
904,2024-01-14,15
4868,2024-02-01,10
1526,2024-01-31,25
4711,2024-02-04,20
2682,2024-02-04,19
2837,2024-01-25,10
3297,2024-01-27,14
1613,2024-01-22,11
3308,2024-01-30,10
3740,2024-01-14,16
431,2024-01-23,11
2129,2024-01-25,15
3388,2024-01-31,12
1965,2024-02-03,11
1965,2024-02-05,13
2024,2024-01-25,11
2206,2024-02-03,11
3979,2024-02-01,13
213,2024-01-26,11
576,2024-01-16,10
1345,2024-01-24,10
4838,2024-01-20,12
4550,2024-01-20,16
2682,2024-02-02,24
3735,2024-01-23,13
3740,2024-01-23,10
2129,2024-01-22,18
2694,2024-01-30,19
3979,2024-01-27,24
4036,2024-01-14,16
4042,2024-02-01,10
4550,2024-01-23,10
2625,2024-01-27,10
3297,2024-01-26,14
2524,2024-01-26,12
3215,2024-01-25,10
3979,2024-02-05,14
1835,2024-01-22,10
2502,2024-01-14,10
2446,2024-02-05,12
3388,2024-01-20,10
4452,2024-02-04,15
2694,2024-02-04,20
1345,2024-01-17,10
27,2024-01-18,17
4868,2024-01-30,11
2999,2024-02-04,10
4612,2024-01-16,15
2694,2024-01-23,21
1835,2024-01-26,10
652,2024-02-26,52
336,2024-03-21,13
5614,2024-04-02,12
387,2024-03-08,42
652,2024-03-03,46
387,2024-02-26,35
652,2024-03-08,69
4743,2024-03-20,45
652,2024-03-21,64
652,2024-04-05,62
387,2024-03-05,36
652,2024-04-06,91
4037,2024-04-02,11
4743,2024-03-16,49
4743,2024-03-24,22
1835,2024-02-28,10
896,2024-03-28,55
652,2024-03-24,45
652,2024-03-17,48
336,2024-03-24,29
